#RPLIDAR SCAN DATA
#COUNT=434
#Angule	Distance	Quality
359.9341 2190.0 188
0.6372 2194.0 188
1.3403 2196.0 188
2.0435 2197.0 188
2.7466 2198.0 188
3.4497 2198.0 188
4.1528 2199.0 188
4.8560 2199.0 188
5.5591 2200.0 188
6.2787 2203.0 188
6.9818 2207.0 188
7.6849 2209.0 188
8.3881 2212.0 188
9.1077 2216.0 188
9.8108 2221.0 188
10.5139 2226.0 188
11.2170 2231.0 188
11.9366 2238.0 188
12.6398 2244.0 188
13.3429 2251.0 188
14.0460 2258.0 188
14.7656 2263.0 188
15.4688 2269.0 188
16.1719 2277.0 188
16.8750 2285.0 188
17.5891 2293.0 188
18.2922 2300.0 188
18.9954 2304.0 188
19.6985 2287.0 188
20.4181 2297.0 188
21.1212 2334.0 188
21.8243 2349.0 188
22.5275 2360.0 188
23.2471 2369.0 188
26.7792 1460.0 188
27.4823 1455.0 188
28.1854 1448.0 188
28.9050 1440.0 188
29.6082 1434.0 188
31.7340 1421.0 188
33.8434 1572.0 188
35.2606 2472.0 188
35.9637 2479.0 188
37.3865 2717.0 188
38.0896 2748.0 188
39.5123 2281.0 188
40.2155 2246.0 188
40.9186 2208.0 188
41.6217 2177.0 188
42.3413 2149.0 188
43.0444 2115.0 188
43.7476 2086.0 188
44.4672 2059.0 188
45.1703 2044.0 188
45.8734 2056.0 188
47.2961 2170.0 188
47.9993 2188.0 188
49.4165 1991.0 188
50.8228 2081.0 188
51.5424 2083.0 188
52.2455 2086.0 188
52.9486 2077.0 188
53.6682 2062.0 188
54.3713 2063.0 188
55.7776 2148.0 188
56.4972 2138.0 188
57.2003 2125.0 188
57.9034 2122.0 188
59.3262 1611.0 188
60.0293 1600.0 188
60.7489 1588.0 188
61.4520 1576.0 188
62.1552 1566.0 188
62.8748 1554.0 188
63.5779 1544.0 188
64.2810 1534.0 188
64.9841 1535.0 188
65.6873 1561.0 188
66.3904 1602.0 188
67.0935 1649.0 188
67.7966 1696.0 188
68.4998 1747.0 188
69.2029 1803.0 188
69.9060 1861.0 188
72.7295 2134.0 188
73.4326 2172.0 188
74.1357 2177.0 188
74.8389 2164.0 188
75.5420 2153.0 188
76.2451 2148.0 188
76.9482 2144.0 188
77.6514 2136.0 188
79.0576 1767.0 188
79.7607 1742.0 188
80.4639 1713.0 188
81.1670 1681.0 188
81.8866 1658.0 188
82.5897 1645.0 188
83.2928 1643.0 188
83.9960 1643.0 188
84.6991 1643.0 188
85.4022 1646.0 188
86.1053 1652.0 188
86.8085 1661.0 188
87.5116 1664.0 188
88.2147 1680.0 188
88.9178 1715.0 188
89.6210 1735.0 188
93.1531 2063.0 188
93.8562 2074.0 188
94.5593 2083.0 188
95.2625 2085.0 188
95.9656 2086.0 188
96.6687 2088.0 188
97.3718 2090.0 188
98.0750 2094.0 188
98.7781 2098.0 188
99.4812 2102.0 188
100.1843 2106.0 188
100.9039 2110.0 188
101.6071 2115.0 188
102.3102 2120.0 188
103.0133 2123.0 188
103.7164 2128.0 188
104.4196 2133.0 188
105.1227 2138.0 188
105.8258 2145.0 188
106.5289 2154.0 188
107.2321 2161.0 188
107.9352 2167.0 188
108.6383 2176.0 188
109.3414 2184.0 188
110.0610 2191.0 188
110.7642 2200.0 188
111.4673 2212.0 188
112.1704 2230.0 188
112.8735 2249.0 188
113.5767 2263.0 188
114.2798 2275.0 188
114.9829 2285.0 188
115.6860 2298.0 188
116.3892 2313.0 188
117.0923 2327.0 188
117.7954 2340.0 188
118.4985 2355.0 188
119.2181 2370.0 188
119.9213 2388.0 188
120.6244 2405.0 188
121.3275 2420.0 188
122.0416 2437.0 188
122.7448 2456.0 188
123.4479 2475.0 188
124.1675 2497.0 188
124.8706 2519.0 188
125.5737 2540.0 188
126.2933 2562.0 188
126.9965 2585.0 188
127.6996 2609.0 188
128.4192 2634.0 188
129.1223 2645.0 188
129.8254 2652.0 188
130.5450 2637.0 188
131.2482 2594.0 188
131.9513 2555.0 188
132.6709 2521.0 188
133.3740 2488.0 188
134.0771 2455.0 188
135.4999 955.0 188
136.2030 953.0 188
136.9171 961.0 188
138.3234 2276.0 188
139.0430 2254.0 188
139.7461 2228.0 188
140.4492 2205.0 188
141.1688 2184.0 188
141.8719 2162.0 188
142.5751 2141.0 188
143.2947 2122.0 188
143.9978 2103.0 188
144.7009 2079.0 188
146.8268 1299.0 188
147.5464 1303.0 188
148.9526 1976.0 188
150.3589 781.0 188
151.0620 783.0 188
151.7651 783.0 188
152.4683 792.0 188
153.8745 1873.0 188
154.5776 1868.0 188
155.2808 1859.0 188
155.9839 1849.0 188
156.6870 1837.0 188
157.4011 1827.0 188
158.1042 1819.0 188
158.8074 1808.0 188
159.5105 1797.0 188
160.2136 1789.0 188
160.9167 1781.0 188
162.3230 1141.0 188
163.0261 1146.0 188
164.4324 1740.0 188
165.1355 1739.0 188
165.8386 1733.0 188
166.5582 1726.0 188
167.2614 1720.0 188
167.9645 1714.0 188
168.6676 1710.0 188
169.3707 1707.0 188
170.0739 1703.0 188
170.7770 1700.0 188
171.4801 1696.0 188
172.1832 1692.0 188
172.8864 1689.0 188
179.9506 907.0 188
180.6537 905.0 188
181.3568 902.0 188
182.0599 899.0 188
182.7631 891.0 188
183.4827 875.0 188
184.8889 701.0 188
185.5920 693.0 188
186.2952 686.0 188
187.0148 680.0 188
187.7179 677.0 188
188.4210 677.0 188
189.1241 679.0 188
189.8273 683.0 188
190.5469 686.0 188
191.2500 690.0 188
191.9531 695.0 188
192.6562 698.0 188
193.3594 699.0 188
194.0735 700.0 188
195.4797 733.0 188
196.1829 735.0 188
197.6056 713.0 188
198.3087 715.0 188
199.0118 718.0 188
199.7150 723.0 188
200.4181 734.0 188
201.8408 784.0 188
202.5439 799.0 188
203.2471 810.0 188
204.6698 1813.0 188
206.0760 1726.0 188
206.7792 1703.0 188
207.4823 1690.0 188
208.2019 1684.0 188
208.9050 1684.0 188
209.6082 1690.0 188
210.3113 1700.0 188
211.0144 1720.0 188
213.1403 1391.0 188
213.8434 1393.0 188
215.2606 2016.0 188
215.9637 2036.0 188
216.6669 2054.0 188
217.3700 2071.0 188
218.0731 2091.0 188
218.7927 2110.0 188
220.1990 1147.0 188
220.9021 1149.0 188
221.6052 1156.0 188
223.0280 2243.0 188
224.4342 1659.0 188
225.1373 1661.0 188
227.2632 2262.0 188
227.9663 2280.0 188
228.6694 2280.0 188
229.3890 2249.0 188
230.0922 2218.0 188
230.7953 2193.0 188
