#RPLIDAR SCAN DATA
#COUNT=428
#Angule	Distance	Quality
359.8242 833.0 188
0.5438 840.0 188
1.2634 848.0 188
1.9666 858.0 188
2.6862 866.0 188
3.4058 874.0 188
4.1089 884.0 188
4.8230 893.0 188
5.5426 901.0 188
6.2457 911.0 188
6.9653 922.0 188
7.6849 932.0 188
8.3881 944.0 188
9.1077 955.0 188
9.8273 967.0 188
10.5304 980.0 188
11.2500 993.0 188
11.9641 1006.0 188
12.6672 1020.0 188
13.3868 1035.0 188
14.1064 1049.0 188
14.8096 1065.0 188
15.5292 1081.0 188
16.2488 1098.0 188
16.9519 1116.0 188
17.6715 1132.0 188
18.3856 1149.0 188
19.0887 1169.0 188
19.8083 1189.0 188
20.5280 1209.0 188
21.2311 1230.0 188
21.9507 1253.0 188
22.6703 1277.0 188
23.3734 1300.0 188
24.0930 1326.0 188
24.8071 1353.0 188
25.5103 1382.0 188
26.2299 1410.0 188
26.9495 1439.0 188
27.6691 1475.0 188
28.3722 1512.0 188
29.0753 1548.0 188
29.7784 1588.0 188
30.4816 1631.0 188
31.1847 1677.0 188
31.9043 1722.0 188
32.6074 1770.0 188
34.7168 2028.0 188
36.1395 2269.0 188
36.8427 2284.0 188
40.3748 2722.0 188
41.7810 2912.0 188
42.4841 2912.0 188
43.1873 2896.0 188
43.9014 2887.0 188
44.6045 2881.0 188
45.3076 2875.0 188
46.0107 2867.0 188
46.7139 2862.0 188
47.4170 2857.0 188
48.1366 2852.0 188
48.8397 2849.0 188
49.5428 2845.0 188
50.2460 2841.0 188
50.9491 2839.0 188
51.6522 2837.0 188
52.3718 2834.0 188
53.0750 2833.0 188
53.7781 2832.0 188
54.4812 2833.0 188
55.1843 2833.0 188
55.9039 2832.0 188
56.6071 2833.0 188
57.3102 2835.0 188
58.0133 2836.0 188
58.7164 2838.0 188
59.4360 2840.0 188
60.1392 2842.0 188
60.8423 2848.0 188
61.5454 2852.0 188
62.2650 2854.0 188
62.9681 2858.0 188
63.6713 2864.0 188
64.3744 2870.0 188
65.0775 2875.0 188
65.7916 2881.0 188
66.4948 2889.0 188
67.1979 2897.0 188
67.9010 2903.0 188
68.6206 2911.0 188
69.3237 2916.0 188
70.7300 1675.0 188
71.4331 1680.0 188
72.1527 1669.0 188
72.8558 1643.0 188
73.5590 1636.0 188
74.2621 1643.0 188
74.9817 1662.0 188
76.3879 3041.0 188
77.0911 3058.0 188
77.7942 3075.0 188
78.5138 3093.0 188
79.2169 3110.0 188
79.9200 3126.0 188
80.6232 3145.0 188
81.3428 3162.0 188
82.0459 3182.0 188
82.7490 3204.0 188
83.4521 3222.0 188
84.1718 3242.0 188
84.8749 3265.0 188
85.5780 3289.0 188
86.2811 3310.0 188
87.6874 3023.0 188
88.3905 3016.0 188
89.1046 3029.0 188
90.5109 3464.0 188
91.2140 3486.0 188
91.9171 3532.0 188
93.3234 3344.0 188
94.0430 3344.0 188
94.7461 3374.0 188
95.4492 3396.0 188
96.1523 3410.0 188
96.8555 3434.0 188
97.5586 3460.0 188
98.2617 3477.0 188
98.9813 3520.0 188
99.6844 3544.0 188
101.0907 3767.0 188
102.4969 4204.0 188
103.2166 4260.0 188
104.6228 3212.0 188
106.0291 3978.0 188
106.7322 3937.0 188
107.4353 3899.0 188
108.1549 3864.0 188
108.8580 3829.0 188
109.5612 3794.0 188
110.2643 3762.0 188
110.9674 3731.0 188
111.6705 3700.0 188
112.3901 3670.0 188
113.8074 2795.0 188
114.5105 2772.0 188
115.2301 2750.0 188
115.9332 2736.0 188
116.6528 2760.0 188
117.3724 2812.0 188
118.0756 2806.0 188
118.7952 2766.0 188
119.4983 2747.0 188
120.2179 2731.0 188
120.9210 2717.0 188
121.6406 2705.0 188
122.3547 2699.0 188
123.0579 2684.0 188
123.7775 2667.0 188
124.4806 2658.0 188
125.2002 2651.0 188
125.9033 2643.0 188
126.6229 2632.0 188
127.3425 2632.0 188
129.4684 3202.0 188
130.8856 2646.0 188
132.3248 3171.0 188
133.0280 3163.0 188
133.7476 3156.0 188
134.4507 3149.0 188
135.1703 3142.0 188
135.8734 3136.0 188
136.5930 3129.0 188
137.3071 3124.0 188
138.0103 3119.0 188
138.7299 3114.0 188
139.4330 3110.0 188
140.1526 3106.0 188
140.8722 3103.0 188
141.5753 3102.0 188
142.2784 3100.0 188
142.9816 3099.0 188
143.6847 3098.0 188
144.4043 3098.0 188
145.1074 3099.0 188
146.5137 1113.0 188
147.2333 1116.0 188
147.9364 1101.0 188
148.6395 1090.0 188
149.3427 1089.0 188
150.0458 1080.0 188
150.7654 1068.0 188
151.4685 1060.0 188
152.1716 1058.0 188
152.8748 1056.0 188
153.5889 1050.0 188
154.2920 1038.0 188
154.9951 1033.0 188
155.6982 1038.0 188
156.4014 1038.0 188
157.1210 1034.0 188
157.8241 1037.0 188
158.5272 1045.0 188
159.2303 1056.0 188
159.9500 1076.0 188
160.6531 1106.0 188
161.3562 1131.0 188
162.7625 3246.0 188
169.8431 2561.0 188
171.9635 1101.0 188
172.6831 1091.0 188
173.3862 1083.0 188
174.1058 1091.0 188
174.8090 1098.0 188
175.5286 1107.0 188
176.2317 1115.0 188
176.9348 1122.0 188
177.6544 1128.0 188
178.3575 1138.0 188
179.0771 1149.0 188
179.7803 1167.0 188
181.2030 1808.0 188
181.9171 1780.0 188
182.6202 1753.0 188
183.3234 1733.0 188
185.4657 1070.0 188
186.1688 1058.0 188
186.8884 1045.0 188
187.5916 1045.0 188
188.3112 1061.0 188
189.0143 1073.0 188
189.7339 1079.0 188
190.4370 1083.0 188
192.5574 1242.0 188
193.2770 1230.0 188
193.9801 1230.0 188
194.6997 1215.0 188
195.4028 1198.0 188
196.1224 1195.0 188
196.8256 1208.0 188
198.2483 1336.0 188
198.9679 1327.0 188
199.6710 1314.0 188
200.3906 1301.0 188
201.0938 1291.0 188
201.8079 1281.0 188
202.5110 1272.0 188
203.2306 1262.0 188
203.9337 1250.0 188
204.6533 1240.0 188
205.3729 1231.0 188
206.0760 1223.0 188
206.7957 1215.0 188
207.4988 1206.0 188
208.9215 1118.0 188
209.6356 1098.0 188
210.3387 1078.0 188
211.0583 1067.0 188
212.4811 332.0 188
213.2007 331.0 188
213.9038 329.0 188
214.6234 327.0 188
215.3265 326.0 188
216.0461 325.0 188
216.7493 325.0 188
217.4634 330.0 188
218.1665 337.0 188
222.4512 615.0 188
223.1543 619.0 188
223.8739 620.0 188
224.5770 625.0 188
226.0107 1076.0 188
226.7139 1078.0 188
227.4170 1077.0 188
228.1201 1075.0 188
228.8397 1075.0 188
229.5428 1073.0 188
230.2460 1070.0 188
231.6687 846.0 188
232.3718 848.0 188
233.0750 848.0 188
233.7946 847.0 188
234.4977 847.0 188
235.2008 848.0 188
235.9039 848.0 188
236.6235 850.0 188
237.3267 850.0 188
238.0298 849.0 188
238.7329 849.0 188
239.4525 849.0 188
240.1556 849.0 188
240.8588 850.0 188
241.5729 852.0 188
242.2760 854.0 188
242.9791 855.0 188
243.6823 857.0 188
244.4019 861.0 188
245.1050 872.0 188
247.2308 784.0 188
247.9340 792.0 188
248.6371 805.0 188
249.3567 817.0 188
250.7629 1082.0 188
252.8888 949.0 188
254.3115 833.0 188
255.0146 849.0 188
255.7178 865.0 188
256.4209 872.0 188
257.1405 879.0 188
257.8436 889.0 188
258.5468 897.0 188
259.2499 895.0 188
260.6671 848.0 188
262.7930 942.0 188
263.4961 943.0 188
264.1992 933.0 188
265.6219 733.0 188
270.5768 842.0 188
271.2799 843.0 188
271.9830 826.0 188
272.7026 811.0 188
273.4058 795.0 188
274.1089 781.0 188
274.8120 770.0 188
275.5261 759.0 188
278.3551 714.0 188
279.0582 704.0 188
280.4810 452.0 188
281.8872 439.0 188
282.6068 438.0 188
284.0131 408.0 188
285.4358 393.0 188
286.8420 379.0 188
287.5616 378.0 188
288.9679 360.0 188
289.6875 360.0 188
291.0938 349.0 188
291.8079 344.0 188
292.5110 338.0 188
293.2141 334.0 188
293.9337 328.0 188
294.6368 324.0 188
295.3400 318.0 188
296.0596 314.0 188
296.7627 311.0 188
297.4658 305.0 188
298.1854 307.0 188
298.8885 308.0 188
300.3113 297.0 188
301.0144 298.0 188
301.7175 296.0 188
302.4371 293.0 188
303.1403 289.0 188
303.8434 287.0 188
304.5575 284.0 188
305.2606 280.0 188
305.9637 279.0 188
306.6833 277.0 188
307.3865 275.0 188
308.0896 273.0 188
308.7927 273.0 188
309.5123 273.0 188
310.2155 266.0 188
310.9351 264.0 188
311.6382 266.0 188
312.3413 262.0 188
313.0444 259.0 188
313.7640 259.0 188
314.4672 261.0 188
315.1703 261.0 188
315.8734 257.0 188
316.5930 254.0 188
317.2961 253.0 188
317.9993 252.0 188
318.7134 250.0 188
319.4165 248.0 188
320.1196 249.0 188
320.8228 249.0 188
321.5424 245.0 188
322.2455 245.0 188
322.9486 246.0 188
323.6517 245.0 188
324.3713 243.0 188
325.0745 243.0 188
325.7776 242.0 188
326.4972 240.0 188
327.2003 237.0 188
327.9034 234.0 188
328.6066 234.0 188
330.0293 224.0 188
330.7324 222.0 188
331.4355 223.0 188
332.1552 223.0 188
332.8583 224.0 188
333.5614 223.0 188
334.2810 222.0 188
334.9841 224.0 188
335.6873 227.0 188
336.3904 228.0 188
337.1045 229.0 188
338.5107 223.0 188
339.2303 222.0 188
339.9335 221.0 188
340.6366 222.0 188
341.3397 224.0 188
342.0593 223.0 188
343.4656 746.0 188
344.1687 754.0 188
344.8883 751.0 188
345.5914 734.0 188
346.2946 728.0 188
347.0142 728.0 188
347.7173 732.0 188
348.4204 736.0 188
349.1235 740.0 188
349.8431 745.0 188
350.5463 750.0 188
351.2494 754.0 188
351.9525 759.0 188
352.6666 765.0 188
353.3698 771.0 188
354.0729 779.0 188
354.7925 785.0 188
355.4956 790.0 188
356.1987 797.0 188
356.9019 804.0 188
357.6215 810.0 188
358.3246 817.0 188
359.0277 826.0 188
